Date,Player_Name,Team,Opponent,Runs,Balls_Faced,Fours,Sixes,Wickets,Economy_Rate,Match_Result,Match_Type,Player_Impact_Score,Strike_Rate,Catches,Target_Score
2024-06-07,Jos Buttler,New Zealand,Bangladesh,76,60,19,5,5,3.11,Loss,ODI,184.78,126.67,3,305
2020-06-21,Rohit Sharma,Australia,India,146,73,1,10,4,6.56,Loss,T20,171.88,200,1,135
2024-02-05,Joe Root,England,Bangladesh,116,41,15,15,5,6.42,Loss,T20,220.16,282.93,4,327
2022-01-28,Steve Smith,Sri Lanka,Australia,147,99,12,11,0,4.78,Win,T20,120.94,148.48,0,287
2023-06-12,Joe Root,Sri Lanka,Pakistan,6,128,0,1,3,3.72,Tie,Test,58.56,4.69,0,335
2023-12-29,Babar Azam,India,England,121,132,17,1,5,4.61,Win,ODI,188.28,91.67,4,257
2025-03-06,David Warner,England,South Africa,78,65,9,2,3,6.21,Tie,Test,110.58,120,2,314
2025-01-31,Babar Azam,South Africa,Sri Lanka,80,107,7,0,3,4.86,Tie,ODI,104.28,74.77,0,227
2023-09-28,Babar Azam,Pakistan,New Zealand,6,88,1,0,4,5.39,Loss,T20,74.22,6.82,1,286
2020-08-25,Virat Kohli,India,Australia,39,143,2,0,4,8.3,Win,T20,86.9,27.27,0,293
2023-12-18,Rohit Sharma,Bangladesh,Australia,98,121,20,12,0,5.84,Tie,ODI,113.32,80.99,2,333
2022-07-24,David Warner,South Africa,New Zealand,77,76,4,12,1,5.97,Loss,ODI,90.56,101.32,0,180
2024-10-20,Joe Root,Sri Lanka,Australia,22,131,0,3,2,9.46,Win,ODI,41.08,16.79,2,175
2025-04-09,Rohit Sharma,Bangladesh,New Zealand,37,58,7,2,3,9.87,Tie,ODI,78.76,63.79,2,351
2023-01-03,Babar Azam,India,New Zealand,99,16,22,7,2,7.44,Tie,ODI,139.62,618.75,0,358
2024-11-22,David Warner,Pakistan,Sri Lanka,67,16,3,7,0,5.07,Tie,ODI,50.36,418.75,0,201
